command_index,source_file_line,command_text,command_type,source_column,destination_column,cards_moved,dest_was_empty,source_face_up,source_face_down,stock_before,stock_after,foundations_before,foundations_after,automatic_removals_triggered,state_hash_before,state_hash_after,sw_before,sw_after,spaces_before,spaces_after,delta_explicit_commands,delta_tableau_moves,delta_stock_deals,delta_engine_actions,delta_legacy_mw,delta_mobilityware_moves,cum_explicit_commands,cum_tableau_moves,cum_stock_deals,cum_automatic_foundation_removals,cum_engine_actions,cum_legacy_mw,cum_mobilityware_moves,discrepancy_legacy_vs_mobilityware,explanation
93,130,move 4 1 2  # 7S run col 4 to col 1,tableau_move,4,1,2,True,11,3,30,30,1,1,0,13054493878119704776,17688361040766761687,12,10,1,0,1,1,0,1,1,1,93,91,2,1,94,86,92,-6,tableau cost=1 (k=2 empty=True)
94,131,move 4 2 7  # QD run col 4 to col 2,tableau_move,4,2,7,False,9,3,30,30,1,1,0,17688361040766761687,14739243977406152161,10,10,0,0,1,1,0,1,1,1,94,92,2,1,95,87,93,-6,tableau cost=1 (k=7 empty=False)
95,132,move 9 4 1  # QH col 9 to col 4,tableau_move,9,4,1,False,12,0,30,30,1,1,0,14739243977406152161,14536872103194866931,10,11,0,0,1,1,0,1,1,1,95,93,2,1,96,88,94,-6,tableau cost=1 (k=1 empty=False)
96,133,move 1 9 2  # 7S run col 1 to col 9,tableau_move,1,9,2,False,2,0,30,30,1,1,0,14536872103194866931,16146788920868374823,11,11,0,1,1,1,0,1,1,1,96,94,2,1,97,89,95,-6,tableau cost=1 (k=2 empty=False)
97,134,move 8 10 1  # 10D col 8 to col 10,tableau_move,8,10,1,False,6,0,30,30,1,1,0,16146788920868374823,8184292990613946045,11,11,1,1,1,1,0,1,1,1,97,95,2,1,98,90,96,-6,tableau cost=1 (k=1 empty=False)
98,135,move 5 8 1  # AD col 5 to col 8,tableau_move,5,8,1,False,3,0,30,30,1,1,0,8184292990613946045,228759201634159059,11,11,1,1,1,1,0,1,1,1,98,96,2,1,99,91,97,-6,tableau cost=1 (k=1 empty=False)
99,136,move 2 1 8  # KD col 2 to col 1,tableau_move,2,1,8,True,8,5,30,30,1,1,0,228759201634159059,8524814048604325892,11,4,1,0,1,1,0,1,0,1,99,97,2,1,100,91,98,-7,legacy free: full face-up→empty (k=8 fu=8 fd=5)
100,137,move 5 2 2  # 7D col 5 to col 2,tableau_move,5,2,2,False,2,0,30,30,1,1,0,8524814048604325892,9703061123272297481,4,6,0,1,1,1,0,1,1,1,100,98,2,1,101,92,99,-7,tableau cost=1 (k=2 empty=False)
101,138,move 9 5 3  # 8S run col 9 to col 5,tableau_move,9,5,3,True,13,0,30,30,1,1,0,9703061123272297481,4755486208684564751,6,6,1,0,1,1,0,1,1,1,101,99,2,1,102,93,100,-7,tableau cost=1 (k=3 empty=True)
102,142,deal  # stock deal 3: 2c 10s Qd Kh 8h 9c 3s 5s 5d 4h,stock_deal,,,,,,,30,20,1,1,0,4755486208684564751,8158793982110941883,6,8,0,0,1,0,1,1,1,1,102,99,3,1,103,94,101,-7,deal; cost=1
103,146,move 10 9 1  # 4H col 10 to col 9,tableau_move,10,9,1,False,4,0,20,20,1,1,0,8158793982110941883,13626366656730204680,8,8,0,0,1,1,0,1,1,1,103,100,3,1,104,95,102,-7,tableau cost=1 (k=1 empty=False)
104,147,move 10 3 2  # JD run col 10 to col 3,tableau_move,10,3,2,False,3,0,20,20,1,1,0,13626366656730204680,1231628429215760859,8,8,0,0,1,1,0,1,1,1,104,101,3,1,105,96,103,-7,tableau cost=1 (k=2 empty=False)
105,148,move 10 8 1  # 4S col 10 to col 8,tableau_move,10,8,1,False,1,0,20,20,1,1,0,1231628429215760859,5208884606721138723,8,8,0,1,1,1,0,1,1,1,105,102,3,1,106,97,104,-7,tableau cost=1 (k=1 empty=False)
106,149,move 7 8 1  # 3s col 7 to col 8,tableau_move,7,8,1,False,9,0,20,20,1,1,0,5208884606721138723,1191298748576642902,8,8,1,1,1,1,0,1,1,1,106,103,3,1,107,98,105,-7,tableau cost=1 (k=1 empty=False)
107,150,move 5 6 1  # 8H col 5 to col 6,tableau_move,5,6,1,False,4,0,20,20,1,1,0,1191298748576642902,13280225135396246464,8,8,1,1,1,1,0,1,1,1,107,104,3,1,108,99,106,-7,tableau cost=1 (k=1 empty=False)
108,151,move 8 5 3  # 5S run col 8 to col 5,tableau_move,8,5,3,False,9,0,20,20,1,1,0,13280225135396246464,1789115344397734564,8,8,1,1,1,1,0,1,1,1,108,105,3,1,109,100,107,-7,tableau cost=1 (k=3 empty=False)
109,152,move 8 1 1  # AD col 8 to col 1,tableau_move,8,1,1,False,6,0,20,20,1,1,0,1789115344397734564,8578392760026928331,8,8,1,1,1,1,0,1,1,1,109,106,3,1,110,101,108,-7,tableau cost=1 (k=1 empty=False)
110,153,move 8 5 1  # 2S col 8 to col 5,tableau_move,8,5,1,False,5,0,20,20,1,1,0,8578392760026928331,4795395767009202877,8,8,1,1,1,1,0,1,1,1,110,107,3,1,111,102,109,-7,tableau cost=1 (k=1 empty=False)
111,154,move 9 10 1  # 4H col 9 to col 10,tableau_move,9,10,1,True,12,0,20,20,1,1,0,4795395767009202877,10281687893425396238,8,8,1,0,1,1,0,1,1,1,111,108,3,1,112,103,110,-7,tableau cost=1 (k=1 empty=True)
112,155,move 8 9 2  # 4D run col 8 to col 9,tableau_move,8,9,2,False,4,0,20,20,1,1,0,10281687893425396238,6318790842569889957,8,8,0,0,1,1,0,1,1,1,112,109,3,1,113,104,111,-7,tableau cost=1 (k=2 empty=False)
113,156,move 10 8 1  # 4H col 10 to col 8,tableau_move,10,8,1,False,1,0,20,20,1,1,0,6318790842569889957,14565379661215484231,8,8,0,1,1,1,0,1,1,1,113,110,3,1,114,105,112,-7,tableau cost=1 (k=1 empty=False)
114,157,move 1 5 1  # Ad col 1 to col 5,tableau_move,1,5,1,False,10,0,20,20,1,1,0,14565379661215484231,15511241384937338950,8,8,1,1,1,1,0,1,1,1,114,111,3,1,115,106,113,-7,tableau cost=1 (k=1 empty=False)
115,158,move 1 10 1  # 2C col 1 to col 10,tableau_move,1,10,1,True,9,0,20,20,1,1,0,15511241384937338950,9789495164600975645,8,8,1,0,1,1,0,1,1,1,115,112,3,1,116,107,114,-7,tableau cost=1 (k=1 empty=True)
116,159,move 9 1 3  # 5D run col 9 to col 1,tableau_move,9,1,3,False,13,0,20,20,1,1,0,9789495164600975645,7849030996535768049,8,8,0,0,1,1,0,1,1,1,116,113,3,1,117,108,115,-7,tableau cost=1 (k=3 empty=False)
117,160,move 10 1 1  # 2C col 10 to col 1,tableau_move,10,1,1,False,1,0,20,20,1,1,0,7849030996535768049,4356359890407410346,8,8,0,1,1,1,0,1,1,1,117,114,3,1,118,109,116,-7,tableau cost=1 (k=1 empty=False)
118,161,move 5 1 1  # AD col 5 to col 1,tableau_move,5,1,1,False,8,0,20,20,1,1,0,4356359890407410346,2383677743738633131,8,8,1,1,1,1,0,1,1,1,118,115,3,1,119,110,117,-7,tableau cost=1 (k=1 empty=False)
119,162,move 2 10 1  # 10S col 2 to col 10,tableau_move,2,10,1,True,4,4,20,20,1,1,0,2383677743738633131,15444442975066072875,8,7,1,0,1,1,0,1,1,1,119,116,3,1,120,111,118,-7,tableau cost=1 (k=1 empty=True)
120,166,deal  # stock deal 4: 9d Js Qh 2d 4c Qc Kc 8c Jh 9s,stock_deal,,,,,,,20,10,1,1,0,15444442975066072875,9996373349209017936,7,9,0,0,1,0,1,1,1,1,120,116,4,1,121,112,119,-7,deal; cost=1
121,170,move 10 2 2  # 10S run col 10 to col 2,tableau_move,10,2,2,False,2,0,10,10,1,1,0,9996373349209017936,7362569634130946919,9,11,0,1,1,1,0,1,1,1,121,117,4,1,122,113,120,-7,tableau cost=1 (k=2 empty=False)
122,171,move 6 7 1  # QC col 6 to col 7,tableau_move,6,7,1,False,8,0,10,10,1,1,0,7362569634130946919,14263559714949256565,11,11,1,1,1,1,0,1,1,1,122,118,4,1,123,114,121,-7,tableau cost=1 (k=1 empty=False)
123,172,move 2 7 3  # JS run col 2 to col 7,tableau_move,2,7,3,False,6,4,10,10,1,1,0,14263559714949256565,15165878822003529043,11,8,1,1,1,1,0,1,1,1,123,119,4,1,124,115,122,-7,tableau cost=1 (k=3 empty=False)
124,173,move 2 1 3  # 8D run col 2 to col 1,tableau_move,2,1,3,False,3,4,10,10,1,1,0,15165878822003529043,12948927672816728209,8,6,1,1,1,1,0,1,1,1,124,120,4,1,125,116,123,-7,tableau cost=1 (k=3 empty=False)
125,174,move 2 4 1  # AH col 2 to col 4,tableau_move,2,4,1,False,1,3,10,10,1,1,0,12948927672816728209,9368122400926192297,6,7,1,1,1,1,0,1,1,1,125,121,4,1,126,117,124,-7,tableau cost=1 (k=1 empty=False)
126,175,move 2 3 1  # JH col 2 to col 3,tableau_move,2,3,1,False,1,2,10,10,1,1,0,9368122400926192297,18410557067462176657,7,7,1,1,1,1,0,1,1,1,126,122,4,1,127,118,125,-7,tableau cost=1 (k=1 empty=False)
127,176,move 6 2 1  # 8H col 6 to col 2,tableau_move,6,2,1,False,7,0,10,10,1,1,0,18410557067462176657,13279422799354440378,7,8,1,1,1,1,0,1,1,1,127,123,4,1,128,119,126,-7,tableau cost=1 (k=1 empty=False)
128,177,move 8 6 1  # 8C col 8 to col 6,tableau_move,8,6,1,False,4,0,10,10,1,1,0,13279422799354440378,15818676800328619892,8,8,1,1,1,1,0,1,1,1,128,124,4,1,129,120,127,-7,tableau cost=1 (k=1 empty=False)
129,178,move 2 10 2  # 9H run col 2 to col 10,tableau_move,2,10,2,True,2,1,10,10,1,1,0,15818676800328619892,10863621689771205016,8,6,1,0,1,1,0,1,0,1,129,125,4,1,130,120,128,-8,legacy free: full face-up→empty (k=2 fu=2 fd=1)
130,179,move 8 2 1  # 4H col 8 to col 2,tableau_move,8,2,1,False,3,0,10,10,1,1,0,10863621689771205016,18137846452890596242,6,6,0,0,1,1,0,1,1,1,130,126,4,1,131,121,129,-8,tableau cost=1 (k=1 empty=False)
131,180,move 5 8 1  # 4C col 5 to col 8,tableau_move,5,8,1,False,8,0,10,10,1,1,0,18137846452890596242,9340306358555720222,6,6,0,0,1,1,0,1,1,1,131,127,4,1,132,122,130,-8,tableau cost=1 (k=1 empty=False)
132,181,move 5 7 7  # 8S run col 5 to col 7,tableau_move,5,7,7,False,7,0,10,10,1,1,0,9340306358555720222,5816322925917616852,6,6,0,1,1,1,0,1,1,1,132,128,4,1,133,123,131,-8,tableau cost=1 (k=7 empty=False)
133,182,move 4 7 1  # AH col 4 to col 7 (Word: 2H col 7),tableau_move,4,7,1,False,6,3,10,10,1,1,0,5816322925917616852,5431372779597046619,6,5,1,1,1,1,0,1,1,1,133,129,4,1,134,124,132,-8,tableau cost=1 (k=1 empty=False)
134,183,move 4 5 1  # 2D col 4 to col5,tableau_move,4,5,1,True,5,3,10,10,1,1,0,5431372779597046619,7208646901935185744,5,4,1,0,1,1,0,1,1,1,134,130,4,1,135,125,133,-8,tableau cost=1 (k=1 empty=True)
135,184,move 3 4 2  # QH run col 3 to col 4,tableau_move,3,4,2,False,10,0,10,10,1,1,0,7208646901935185744,13825057714580766449,4,6,0,0,1,1,0,1,1,1,135,131,4,1,136,126,134,-8,tableau cost=1 (k=2 empty=False)
136,185,move 1 3 4  # 9D run col 1 to col 3,tableau_move,1,3,4,False,17,0,10,10,1,1,0,13825057714580766449,7299574124358737715,6,6,0,0,1,1,0,1,1,1,136,132,4,1,137,127,135,-8,tableau cost=1 (k=4 empty=False)
137,186,move 1 5 1  # AD col 1 to col 5 (Word: 2D col 1 to col 5),tableau_move,1,5,1,False,13,0,10,10,1,1,0,7299574124358737715,8659625520914034226,6,6,0,0,1,1,0,1,1,1,137,133,4,1,138,128,136,-8,tableau cost=1 (k=1 empty=False)
138,187,move 2 3 2  # 5H run col 2 to col 3,tableau_move,2,3,2,False,2,0,10,10,1,1,0,8659625520914034226,15129278319147683009,6,6,0,1,1,1,0,1,1,1,138,134,4,1,139,129,137,-8,tableau cost=1 (k=2 empty=False)
139,188,move 1 2 1  # 2C col 1 to col 2,tableau_move,1,2,1,True,12,0,10,10,1,1,0,15129278319147683009,4074431287338481125,6,6,1,0,1,1,0,1,1,1,139,135,4,1,140,130,138,-8,tableau cost=1 (k=1 empty=True)
140,189,move 5 1 2  # 2D run col 5 to col 1,tableau_move,5,1,2,False,2,0,10,10,1,2,1,4074431287338481125,20750130944392388752,6,6,0,2,1,1,0,2,1,1,140,136,4,2,142,131,139,-8,tableau cost=1 (k=2 empty=False); auto_removal×1
141,190,move 4 1 3  # KH run col 4 to col 1,tableau_move,4,1,3,True,6,3,10,10,2,2,0,20750130944392388752,24877654431496545596,6,3,2,1,1,1,0,1,1,1,141,137,4,2,143,132,140,-8,tableau cost=1 (k=3 empty=True)
142,191,move 2 5 1  # 2C col 2 to col 5,tableau_move,2,5,1,True,1,0,10,10,2,2,0,24877654431496545596,23088389765952176183,3,3,1,1,1,1,0,1,0,0,142,138,4,2,144,132,140,-8,legacy free: full face-up→empty (k=1 fu=1 fd=0)
143,192,move 4 2 2  # KH run col 4 to col 2,tableau_move,4,2,2,True,3,3,10,10,2,2,0,23088389765952176183,18510055630428696313,3,1,1,0,1,1,0,1,1,1,143,139,4,2,145,133,141,-8,tableau cost=1 (k=2 empty=True)
144,193,move 9 2 1  # JH col 9 to col 2,tableau_move,9,2,1,False,11,0,10,10,2,2,0,18510055630428696313,22222718564911199402,1,1,0,0,1,1,0,1,1,1,144,140,4,2,146,134,142,-8,tableau cost=1 (k=1 empty=False)
145,194,move 10 4 2  # 9H run col 10 to col 4,tableau_move,10,4,2,False,2,0,10,10,2,2,0,22222718564911199402,22374056659222810155,1,3,0,1,1,1,0,1,1,1,145,141,4,2,147,135,143,-8,tableau cost=1 (k=2 empty=False)
146,195,move 4 1 3  # 10H run col 4 to col 1,tableau_move,4,1,3,False,3,3,10,10,2,2,0,22374056659222810155,28453142755467786151,3,1,1,1,1,1,0,1,1,1,146,142,4,2,148,136,144,-8,tableau cost=1 (k=3 empty=False)
147,196,move 3 10 2  # 5H run col 3 to col 10,tableau_move,3,10,2,True,14,0,10,10,2,2,0,28453142755467786151,18965601683852549434,1,1,1,0,1,1,0,1,1,1,147,143,4,2,149,137,145,-8,tableau cost=1 (k=2 empty=True)
148,197,move 3 4 7  # QD run col 3 to col 4,tableau_move,3,4,7,False,12,0,10,10,2,2,0,18965601683852549434,22370920179322629631,1,8,0,0,1,1,0,1,1,1,148,144,4,2,150,138,146,-8,tableau cost=1 (k=7 empty=False)
149,198,move 10 3 2  # 5H run col 10 to col 3,tableau_move,10,3,2,False,2,0,10,10,2,2,0,22370920179322629631,31965421826726856546,8,8,0,1,1,1,0,1,1,1,149,145,4,2,151,139,147,-8,tableau cost=1 (k=2 empty=False)
150,199,move 4 10 8  # KD col 4 to col 10,tableau_move,4,10,8,True,8,2,10,10,2,2,0,31965421826726856546,33300472825602509589,8,1,1,0,1,1,0,1,0,1,150,146,4,2,152,139,148,-9,legacy free: full face-up→empty (k=8 fu=8 fd=2)
151,200,move 7 4 1  # AH col 7 to col 4,tableau_move,7,4,1,False,21,0,10,10,2,2,0,33300472825602509589,33863882535269438106,1,2,0,0,1,1,0,1,1,1,151,147,4,2,153,140,149,-9,tableau cost=1 (k=1 empty=False)
152,204,deal  # stock deal 5: 3h 10h 2d 3c 9h 7c 7h As 3c 5d,stock_deal,,,,,,,10,0,2,2,0,33863882535269438106,21036008280814208469,2,3,0,0,1,0,1,1,1,1,152,147,5,2,154,141,150,-9,deal; cost=1
153,208,move 5 2 1  # 9H col 5 to 10H col 2,tableau_move,5,2,1,False,2,0,0,0,2,2,0,21036008280814208469,34206176906056854477,3,3,0,0,1,1,0,1,1,1,153,148,5,2,155,142,151,-9,tableau cost=1 (k=1 empty=False)
154,209,move 5 9 1  # 2C col 5 to 3C col 9 (col 5 empty),tableau_move,5,9,1,False,1,0,0,0,2,2,0,34206176906056854477,26504705963980376472,3,3,0,1,1,1,0,1,1,1,154,149,5,2,156,143,152,-9,tableau cost=1 (k=1 empty=False)
155,210,move 7 5 1  # 7H col 7 to open col 5,tableau_move,7,5,1,True,21,0,0,0,2,2,0,26504705963980376472,31734745299782844488,3,3,1,0,1,1,0,1,1,1,155,150,5,2,157,144,153,-9,tableau cost=1 (k=1 empty=True)
156,211,move 8 7 1  # AS col 8 to 2S col 7,tableau_move,8,7,1,False,4,0,0,0,2,2,0,31734745299782844488,32605414677643962235,3,3,0,0,1,1,0,1,1,1,156,151,5,2,158,145,154,-9,tableau cost=1 (k=1 empty=False)
157,212,move 8 6 3  # 6C run col 8 to 7C col 6,tableau_move,8,6,3,False,3,0,0,0,2,2,0,32605414677643962235,23278360173054405383,3,3,0,1,1,1,0,1,1,1,157,152,5,2,159,146,155,-9,tableau cost=1 (k=3 empty=False)
158,213,move 4 6 1  # 3C col 4 to 4C col 6,tableau_move,4,6,1,False,3,1,0,0,2,2,0,23278360173054405383,24139448283050074473,3,2,1,1,1,1,0,1,1,1,158,153,5,2,160,147,156,-9,tableau cost=1 (k=1 empty=False)
159,214,move 4 1 2  # 2H run col 4 to 3H col 1 (reveals AC),tableau_move,4,1,2,False,2,1,0,0,2,2,0,24139448283050074473,31959306030611219049,2,0,1,1,1,1,0,1,1,1,159,154,5,2,161,148,157,-9,tableau cost=1 (k=2 empty=False)
160,215,move 4 9 1  # AC col 4 to 2C col 9 (completes club run),tableau_move,4,9,1,False,1,0,0,0,2,3,1,31959306030611219049,22909653626281116844,0,0,1,3,1,1,0,2,1,1,160,155,5,3,163,149,158,-9,tableau cost=1 (k=1 empty=False); auto_removal×1
161,216,move 3 4 1  # 2D col 3 to empty col 4,tableau_move,3,4,1,True,8,0,0,0,3,3,0,22909653626281116844,19544630181535563512,0,0,3,2,1,1,0,1,1,1,161,156,5,3,164,150,159,-9,tableau cost=1 (k=1 empty=True)
162,217,move 3 5 3  # 6H run col 3 to 7H col 5,tableau_move,3,5,3,False,7,0,0,0,3,3,0,19544630181535563512,19181371813220253922,0,0,2,2,1,1,0,1,1,1,162,157,5,3,165,151,160,-9,tableau cost=1 (k=3 empty=False)
163,218,move 1 5 3  # 3H run col 1 to 4H col 5,tableau_move,1,5,3,False,9,0,0,0,3,3,0,19181371813220253922,24958727806164630273,0,0,2,2,1,1,0,1,1,1,163,158,5,3,166,152,161,-9,tableau cost=1 (k=3 empty=False)
164,219,move 3 6 2  # 2C run col 3 to 3C col 6 (2C+AC),tableau_move,3,6,2,False,4,0,0,0,3,3,0,24958727806164630273,24627051955493338444,0,0,2,2,1,1,0,1,1,1,164,159,5,3,167,153,162,-9,tableau cost=1 (k=2 empty=False)
165,220,move 4 3 1  # 2D col 4 to 3D col 3,tableau_move,4,3,1,False,1,0,0,0,3,3,0,24627051955493338444,25875383592152139544,0,0,2,3,1,1,0,1,1,1,165,160,5,3,168,154,163,-9,tableau cost=1 (k=1 empty=False)
166,221,move 6 8 9  # 9C run col 6 to empty col 8,tableau_move,6,8,9,True,14,0,0,0,3,3,0,25875383592152139544,32763480479240544040,0,0,3,2,1,1,0,1,1,1,166,161,5,3,169,155,164,-9,tableau cost=1 (k=9 empty=True)
167,222,move 6 3 1  # AD col 6 to 2D col 3,tableau_move,6,3,1,False,5,0,0,0,3,3,0,32763480479240544040,28041947324626700310,0,0,2,2,1,1,0,1,1,1,167,162,5,3,170,156,165,-9,tableau cost=1 (k=1 empty=False)
168,223,move 8 6 9  # 9C run col 8 to 10C col 6,tableau_move,8,6,9,False,9,0,0,0,3,3,0,28041947324626700310,21081795313509322790,0,0,2,3,1,1,0,1,1,1,168,163,5,3,171,157,166,-9,tableau cost=1 (k=9 empty=False)
169,224,move 6 4 11  # JC run col 6 to empty col 4,tableau_move,6,4,11,True,13,0,0,0,3,3,0,21081795313509322790,28601143106324599424,0,0,3,2,1,1,0,1,1,1,169,164,5,3,172,158,167,-9,tableau cost=1 (k=11 empty=True)
170,225,move 3 10 4  # 4D run col 3 to 5D col 10 (completes diamond run),tableau_move,3,10,4,False,4,0,0,0,3,4,1,28601143106324599424,40756206942831273026,0,0,2,4,1,1,0,2,1,1,170,165,5,4,174,159,168,-9,tableau cost=1 (k=4 empty=False); auto_removal×1
171,226,move 7 6 11  # JS col 7 to QS col 6 (spade run K-A; completes spade run),tableau_move,7,6,11,False,21,0,0,0,4,5,1,40756206942831273026,64740779048822314282,0,0,4,5,1,1,0,2,1,1,171,166,5,5,176,160,169,-9,tableau cost=1 (k=11 empty=False); auto_removal×1
172,227,move 4 7 11  # JC run col 4 to QC col 7 (completes club run),tableau_move,4,7,11,False,11,0,0,0,5,6,1,64740779048822314282,73766795460512441910,0,0,5,6,1,1,0,2,1,1,172,167,5,6,178,161,170,-9,tableau cost=1 (k=11 empty=False); auto_removal×1
173,228,move 7 2 8  # 8H run col 7 to 9H col 2 (completes heart run),tableau_move,7,2,8,False,8,0,0,0,6,7,1,73766795460512441910,91868932874522764872,0,0,6,8,1,1,0,2,1,1,173,168,5,7,180,162,171,-9,tableau cost=1 (k=8 empty=False); auto_removal×1
174,229,move 5 1 7  # 7H run col 5 to 8H col 1 (game solved; you said col 4),tableau_move,5,1,7,False,7,0,0,0,7,8,1,91868932874522764872,90614136721115541707,0,0,8,10,1,1,0,2,1,1,174,169,5,8,182,163,172,-9,tableau cost=1 (k=7 empty=False); auto_removal×1
